participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,Demographic.1.player.id_in_group,Demographic.1.player.age,Demographic.1.player.gender,Demographic.1.player.nationality,Demographic.1.player.residency,Demographic.1.player.ethnicity,Demographic.1.player.education,Demographic.1.player.payoff,Demographic.1.group.id_in_subsession,Demographic.1.subsession.round_number,matrix_new.1.player.id_in_group,matrix_new.1.player.answer_q01,matrix_new.1.player.answer_q02,matrix_new.1.player.start_time0,matrix_new.1.player.elapsed_time0,matrix_new.1.player.count0,matrix_new.1.player.is_correct0,matrix_new.1.player.score,matrix_new.1.player.test_matrix1,matrix_new.1.player.test_matrix2,matrix_new.1.player.answer_q11,matrix_new.1.player.answer_q12,matrix_new.1.player.start_time1,matrix_new.1.player.elapsed_time1,matrix_new.1.player.is_correct1,matrix_new.1.player.count1,matrix_new.1.player.score1,matrix_new.1.player.answer_q21,matrix_new.1.player.answer_q22,matrix_new.1.player.start_time2,matrix_new.1.player.elapsed_time2,matrix_new.1.player.is_correct2,matrix_new.1.player.count2,matrix_new.1.player.score2,matrix_new.1.player.answer_q31,matrix_new.1.player.answer_q32,matrix_new.1.player.start_time3,matrix_new.1.player.elapsed_time3,matrix_new.1.player.is_correct3,matrix_new.1.player.count3,matrix_new.1.player.score3,matrix_new.1.player.answer_q41,matrix_new.1.player.answer_q42,matrix_new.1.player.start_time4,matrix_new.1.player.elapsed_time4,matrix_new.1.player.is_correct4,matrix_new.1.player.count4,matrix_new.1.player.score4,matrix_new.1.player.answer_q51,matrix_new.1.player.answer_q52,matrix_new.1.player.start_time5,matrix_new.1.player.elapsed_time5,matrix_new.1.player.is_correct5,matrix_new.1.player.count5,matrix_new.1.player.score5,matrix_new.1.player.answer_q61,matrix_new.1.player.answer_q62,matrix_new.1.player.start_time6,matrix_new.1.player.elapsed_time6,matrix_new.1.player.is_correct6,matrix_new.1.player.count6,matrix_new.1.player.score6,matrix_new.1.player.answer_q71,matrix_new.1.player.answer_q72,matrix_new.1.player.start_time7,matrix_new.1.player.elapsed_time7,matrix_new.1.player.is_correct7,matrix_new.1.player.count7,matrix_new.1.player.score7,matrix_new.1.player.answer_q81,matrix_new.1.player.answer_q82,matrix_new.1.player.start_time8,matrix_new.1.player.elapsed_time8,matrix_new.1.player.is_correct8,matrix_new.1.player.count8,matrix_new.1.player.score8,matrix_new.1.player.answer_q91,matrix_new.1.player.answer_q92,matrix_new.1.player.start_time9,matrix_new.1.player.elapsed_time9,matrix_new.1.player.is_correct9,matrix_new.1.player.count9,matrix_new.1.player.score9,matrix_new.1.player.answer_q101,matrix_new.1.player.answer_q102,matrix_new.1.player.start_time10,matrix_new.1.player.elapsed_time10,matrix_new.1.player.is_correct10,matrix_new.1.player.count10,matrix_new.1.player.score10,matrix_new.1.player.matrix_payoff0,matrix_new.1.player.matrix_payoff,matrix_new.1.player.avg_score,matrix_new.1.player.payoff,matrix_new.1.group.id_in_subsession,matrix_new.1.subsession.round_number,discrete.1.player.id_in_group,discrete.1.player.test_intro1,discrete.1.player.test_intro2,discrete.1.player.test_belief1,discrete.1.player.test_belief2,discrete.1.player.time9,discrete.1.player.choice1,discrete.1.player.rand_choice,discrete.1.player.predalg,discrete.1.player.predhum,discrete.1.player.beliefalgorithm,discrete.1.player.beliefhuman,discrete.1.player.gender2,discrete.1.player.ethnicity2,discrete.1.player.age2,discrete.1.player.education2,discrete.1.player.payoff_belief_a,discrete.1.player.payoff_choice_a,discrete.1.player.payoff_belief_h,discrete.1.player.payoff_choice_h,discrete.1.player.payoff_belief,discrete.1.player.payoff_choice,discrete.1.player.accuracyalgorithm,discrete.1.player.accuracyhuman,discrete.1.player.treatment,discrete.1.player.test,discrete.1.player.test2,discrete.1.player.random_draw,discrete.1.player.payoff,discrete.1.group.id_in_subsession,discrete.1.subsession.round_number,openquestion.1.player.id_in_group,openquestion.1.player.test_intro,openquestion.1.player.choice1,openquestion.1.player.beliefa,openquestion.1.player.beliefh,openquestion.1.player.explanation,openquestion.1.player.explanation2,openquestion.1.player.fair,openquestion.1.player.transparent,openquestion.1.player.simpler,openquestion.1.player.familiar,openquestion.1.player.characteristics,openquestion.1.player.previous_performance,openquestion.1.player.discriminate,openquestion.1.player.quickly,openquestion.1.player.error,openquestion.1.player.other,openquestion.1.player.x1,openquestion.1.player.x2,openquestion.1.player.x3,openquestion.1.player.x4,openquestion.1.player.x5,openquestion.1.player.payoff,openquestion.1.group.id_in_subsession,openquestion.1.subsession.round_number,scl.1.player.id_in_group,scl.1.player.lottery_choice,scl.1.player.outcome_to_pay,scl.1.player.outcome_lo,scl.1.player.outcome_hi,scl.1.player.payoff,scl.1.group.id_in_subsession,scl.1.subsession.round_number,BFI_S.1.player.id_in_group,BFI_S.1.player.Worry,BFI_S.1.player.Nervous,BFI_S.1.player.Relax,BFI_S.1.player.Talkative,BFI_S.1.player.Sociable,BFI_S.1.player.Reserved,BFI_S.1.player.Original,BFI_S.1.player.Artistic,BFI_S.1.player.Active_imagination,BFI_S.1.player.Rude,BFI_S.1.player.Forgiving,BFI_S.1.player.Considerate,BFI_S.1.player.Thorough_job,BFI_S.1.player.Lazy,BFI_S.1.player.Efficient,BFI_S.1.player.Neuroticism,BFI_S.1.player.Extraversion,BFI_S.1.player.Openness,BFI_S.1.player.Agreeableness,BFI_S.1.player.Conscientiousness,BFI_S.1.player.payoff,BFI_S.1.group.id_in_subsession,BFI_S.1.subsession.round_number,final_payoff.1.player.id_in_group,final_payoff.1.player.matrix_payoff,final_payoff.1.player.mpl_payoff,final_payoff.1.player.belief_payoff,final_payoff.1.player.belief_choice,final_payoff.1.player.payoff,final_payoff.1.group.id_in_subsession,final_payoff.1.subsession.round_number,payment_info.1.player.id_in_group,payment_info.1.player.payoff_backup,payment_info.1.player.payoff,payment_info.1.group.id_in_subsession,payment_info.1.subsession.round_number
1,luesb5eq,,0,34,33,payment_info,PaymentInfo,10.65.225.59,2019-07-05 15:03:21.234880+00:00,1,A1J8TVICSRC70W,3OLF68YTN91F345PITZTIYBLTNSFAA,4.14,4.24,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,1,3,0,US,US,White,5,0,1,1,1,21,79,1562339696,18.21,2,0,,,,63,37,1562339720,11.35,0,1,,85,15,1562339731,22.33,0,1,,16,84,1562339754,10.68,0,1,,3,97,1562339764,6.5,0,1,,87,13,1562339771,6.39,0,1,,23,77,1562339777,11.67,0,1,,4,96,1562339789,11.66,0,1,,26,74,1562339800,7.67,0,1,,43,57,1562339808,9.95,0,1,,80,20,1562339818,12.78,0,1,,1.2,,78.9,1.33,1,1,1,1,1,0,1,9.95,1,0,16.47,10.5,10,10,0,1,3,5,0.58,1.23,1,1.23,,,100,100,baseline,24,1,1,1.81,1,1,1,,1,10,10,I thought that it would be smarter about picking the average.,There is no difference - I figured that both systems would look at the average of the values....,2,4,3,2,1,4,1,4,5,2,,,,,,0,1,1,1,3,high,0.25,1,1,1,1,1,2,3,4,2,1,4,5,4,4,2,5,4,4,2,4,,,,,,0,1,1,1,,,,,0,1,1,1,,0,1,1
2,uvsh3p6x,,0,6,33,matrix_new,training3,10.63.232.155,2019-07-05 15:03:24.733965+00:00,1,A2M45YGLOWMO4N,3B1NLC6UGZWS487MIWN8QE0STOSPGZ,0,0.1,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,2,7,1,US,US,White,5,0,1,1,2,79,21,1562339162,16.13,1,0,,,,,,1562339162,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,transp,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,0,1,1,2,,0,1,1
3,h7cg5s7y,,0,34,33,payment_info,PaymentInfo,10.65.212.112,2019-07-05 15:03:28.135703+00:00,1,A2FVI9R2TRXCUH,3Z9WI9EOZZO5TD5HPA0IFXQUEEZKHS,3.92,4.02,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,3,6,0,US,US,White,5,0,1,1,3,79,21,1562339104,43.51,2,0,,,,63,37,1562339157,21.29,0,2,,85,15,1562339178,13.21,0,1,,84,16,1562339191,14.47,0,1,,97,3,1562339206,25.46,0,1,,87,13,1562339231,13.57,0,1,,77,23,1562339245,33.58,0,2,,96,4,1562339278,21.72,0,2,,74,26,1562339300,19.16,0,1,,57,43,1562339319,14.03,0,1,,80,20,1562339333,7.48,0,1,,0.77,,71.6,1.27,1,1,3,1,1,0,1,14.03,0,1,20.89,20.05,10,5,0,1,6,5,0,1.15,0,1.15,,,25,12,baseline,37,1,1,1.15,1,1,3,,0,10,5,diffrent task,good,3,3,2,3,3,3,3,3,3,3,,,,,,0,1,1,3,5,high,0,1.5,1.5,1,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,,,,,,0,1,1,3,,,,,0,1,1,3,,0,1,1
4,n2w6995x,,0,34,33,payment_info,PaymentInfo,10.51.235.157,2019-07-05 15:03:28.489332+00:00,1,A1OR82RF1ZFWP,33NF62TLXJ21KJ07DA33RA69R63KJX,3.27,3.37,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,4,12,0,US,US,White,3,0,1,1,4,21,79,1562339110,14.37,1,0,,,,63,37,1562339179,15.5,0,1,,85,15,1562339194,15.97,0,1,,84,16,1562339210,34.08,0,1,,97,3,1562339244,10.6,0,1,,87,13,1562339255,8.56,0,1,,23,77,1562339263,16.54,0,1,,96,4,1562339280,12.11,0,1,,74,26,1562339292,21.84,0,1,,43,57,1562339314,21.74,0,1,,80,20,1562339336,15.25,0,1,,1.26,,72.7,1.14,1,1,4,1,1,0,1,21.74,1,1,28.05,20.5,20,22,0,1,12,3,0.35,1.03,0.98,1.03,,,75,75,transp,55,1,1,1.38,1,1,4,,1,20,22,I chose the algorithmic recruiter because I felt as though they went strictly by the averages of my work while I felt that the human went by the average of people my age.,I thought the human would evaluate me higher due to my age.,5,4,4,4,2,5,1,5,2,1,,,,,,0,1,1,4,2,high,0.38,0.75,0.75,1,1,4,1,1,4,4,4,2,4,4,4,1,4,5,5,1,5,,,,,,0,1,1,4,,,,,0,1,1,4,,0,1,1
5,mdaku1ls,,0,34,33,payment_info,PaymentInfo,10.65.109.147,2019-07-05 15:03:29.938919+00:00,1,AK0NU6MXASNR8,36H9ULYP62UQ4X8TCZC6BXE4JAMFJQ,3.34,3.44,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,5,6,0,US,US,White,7,0,1,1,5,79,21,1562339069,61.82,1,0,,,,63,37,1562339145,10.68,0,1,,85,15,1562339156,12.78,0,1,,84,16,1562339169,27.58,0,1,,97,3,1562339196,9.81,0,1,,87,13,1562339206,24.21,0,1,,77,23,1562339230,11.15,0,1,,96,4,1562339241,16.94,0,1,,74,26,1562339258,18.78,0,1,,43,57,1562339277,18.43,0,1,,80,20,1562339296,7.97,0,1,,0.47,,74.2,1.19,1,1,5,1,1,0,1,18.43,1,0,24.64,18,18,20,0,1,6,7,0.56,1.09,0.96,1.09,,,0,0,baseline,3,4,1,1.65,1,1,5,,1,18,20,I have absolutely no clue what's going on. I just randomly guessed because it makes no sense to me.,"I guess I thought the human would assign me a higher value, but really I understand none of this.",3,4,3,3,2,4,2,4,3,2,,,,,,0,1,1,5,1,high,0.5,0.5,0.5,1,1,5,5,5,2,1,1,4,4,4,4,4,2,3,4,4,4,,,,,,0,1,1,5,,,,,0,1,1,5,,0,1,1
6,rjnkvx4d,,0,34,33,payment_info,PaymentInfo,10.5.197.37,2019-07-05 15:03:33.726664+00:00,1,A1R1F51OC1NGAG,3Z4XG4ZF48RIK23VLPL1SE5X74OX8F,3.51,3.61,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,6,3,1,US,US,Black,2,0,1,1,6,79,21,1562339121,93.32,3,0,,,,63,37,1562339255,23.38,0,1,,85,15,1562339278,30.09,0,1,,16,84,1562339308,26.58,0,1,,3,97,1562339335,16.74,0,1,,87,13,1562339351,11.18,0,1,,77,23,1562339363,51.04,0,3,,4,96,1562339414,18.26,0,1,,26,74,1562339432,85.4,0,2,,43,57,1562339517,32.03,0,1,,80,20,1562339549,14.11,0,1,,0,,59.1,0.97,1,1,6,1,1,0,1,32.03,0,0,22.98,29.099,27,32,1,0,3,2,0.84,1.12,0.92,1.12,,,80,80,transp,2,9,0,2.04,1,1,6,,0,27,32,The human would not be entirely biased and would be a little more flexible.,The human would be all round flexible compared to the algorithmic which would be rigid,3,4,4,2,4,2,5,5,2,1,,,,,,0,1,1,6,1,low,0.5,0.5,0.5,1,1,6,2,2,4,4,4,3,4,4,4,2,4,4,4,2,4,,,,,,0,1,1,6,,,,,0,1,1,6,,0,1,1
7,xgcpjrh1,,0,5,33,matrix_new,training2,10.69.220.186,2019-07-05 15:03:33.709406+00:00,1,A36JOP57WZ4G52,3SB4CE2TJVVW3QWAIN5FO5BSXSOXAJ,0,0.1,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,7,5,0,US,US,Black,4,0,1,1,7,0,0,1562339048,99.27,1,1,,,,,,1562339048,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,baseline,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,0,1,1,7,,0,1,1
8,1nwxwpit,,0,34,33,payment_info,PaymentInfo,10.37.254.231,2019-07-05 15:03:32.671197+00:00,1,A6YDORFZZXXPQ,3RWE2M8QWHAVQJKOOFLD1X8HMS2N0Y,3.53,3.63,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,8,6,1,US,US,Asian,5,0,1,1,8,79,21,1562339103,20.44,1,0,,,,63,37,1562339152,12.77,0,1,,85,15,1562339165,30.94,0,1,,84,16,1562339196,23.53,0,1,,97,3,1562339219,10.71,0,1,,87,13,1562339230,10.65,0,1,,77,23,1562339241,14.55,0,1,,96,4,1562339255,8.89,0,1,,74,26,1562339264,17.05,0,1,,57,43,1562339281,21.64,0,1,,80,20,1562339303,10.98,0,1,,1.16,,73.8,1.14,1,1,8,1,1,0,1,21.64,0,0,21.85,22.648,20,22,1,0,6,5,0.97,1.14,1,1.14,,,70,80,transp,80,9,0,2.14,1,1,8,,0,20,22,"Machine use based on past information, but humans are unpredictable.",Human evaluator would be more understanding in the variables that can occur.,2,3,2,2,2,4,3,4,3,2,,,,,,0,1,1,8,3,low,0.25,1,0.25,1,1,8,4,3,3,3,4,3,4,3,4,2,3,4,4,2,4,,,,,,0,1,1,8,,,,,0,1,1,8,,0,1,1
9,8tb6zwhw,,0,34,33,payment_info,PaymentInfo,10.47.240.45,2019-07-05 15:03:32.917582+00:00,1,A2S75O867RJG0I,35LDD5557A4RLR6SG7GV72YQV0YKM1,2.84,2.94,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,9,3,1,US,US,Hispanic,5,0,1,1,9,79,21,1562339663,16.96,1,0,,,,63,37,1562339708,12.72,0,1,,85,15,1562339721,16.53,0,1,,84,16,1562339737,12.04,0,1,,97,3,1562339749,11.09,0,1,,87,13,1562339760,12.97,0,1,,77,23,1562339773,19.73,0,1,,96,4,1562339793,31.6,0,1,,74,26,1562339825,7.92,0,1,,57,43,1562339833,12.46,0,1,,0,0,1562339845,90.78,1,2,,1.22,,67.3,1.29,1,1,9,1,1,0,1,12.46,0,0,14.73,11.2,5,15,1,0,3,5,0.05,1.25,0.86,1.25,,,10,10,baseline,20,7,1,1.3,1,1,9,,0,5,15,I think humans can make better decisions.,none,4,5,3,5,2,5,3,4,2,4,,,,,,0,1,1,9,3,low,0.25,1,0.25,1,1,9,1,3,4,5,4,2,5,3,5,2,4,5,4,3,5,,,,,,0,1,1,9,,,,,0,1,1,9,,0,1,1
10,5wpo666f,,0,34,33,payment_info,PaymentInfo,10.51.193.42,2019-07-05 15:03:33.111400+00:00,1,A1JJYY622DGE5L,38F71OA9GTWG55EEFWPYRP6LN4HFMU,2.89,2.99,o539rllm,,,36FQTHX3Z3RMKIXUE9TLNGA43BT3B5,3GRRK9BQWREOB4YC89R86SOLHSUDPY,,0,0.1,1,10,7,0,US,US,White,4,0,1,1,10,21,79,1562339240,25.95,1,0,,,,63,37,1562339277,13.72,0,1,,15,85,1562339291,49.6,0,2,,16,84,1562339340,31.91,0,1,,3,97,1562339372,15.87,0,1,,87,13,1562339388,8.96,0,1,,77,23,1562339397,17.38,0,1,,96,4,1562339414,7.24,0,1,,26,74,1562339421,8.97,0,1,,43,57,1562339430,15.04,0,1,,80,20,1562339445,9.61,0,1,,1.07,,72.2,1.25,1,1,10,1,1,0,1,15.04,0,1,21.46,13.63,38,30,0,1,7,4,0,1.14,0,1.14,,,100,90,transp,48,6,1,1.14,1,1,10,,0,38,30,I thought this person would give a more accurate estimate because it is not factoring in as many identifying characteristics.,I thought that the human would estimate me lower based on actual performance probability. I thought the algorithm would be higher because of the factors that increased the time.,2,4,4,2,4,2,4,4,4,2,,,,,,0,1,1,10,1,high,0.5,0.5,0.5,1,1,10,4,4,2,3,3,3,4,4,4,2,2,4,4,2,4,,,,,,0,1,1,10,,,,,0,1,1,10,,0,1,1
